1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999796349917249,0.7430401736474679,0.5830814781498549,0.4901989560656041,0.40491164494243626
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998998249764408,0.7282779346285491,0.5724153356817893,0.4815630889152066,0.3971287703625139
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994798727073402,0.7117315280239948,0.5604007191579536,0.47177139257577,0.3883802810176993
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9973249216554614,0.693058437868378,0.546763359631317,0.4605887253926608,0.3784926747507141
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999984,0.9881762844663452,0.6718221019511866,0.5311532363893492,0.44771847266251247,0.36725393072399715
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999971,0.9626537093746,0.6474591400222086,0.5131204880703018,0.4327852022654502,0.3544045788784515
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999993072,0.9187186730770505,0.6192355859946602,0.4920852548395837,0.41531424568318953,0.3396274387464644
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999770547,0.8615309764030824,0.5861933388634671,0.46730399480835433,0.39471087155920576,0.32253668974680666
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999988816336,0.7928553539290721,0.547100132071538,0.43784280230617034,0.37024682679766974,0.3026678345968763
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999139124709,0.7116570295625432,0.5004508282124818,0.4025865560519524,0.3410717622740635,0.27947140974357615
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,0.999988573434075,0.6166220733069651,0.4446431140044057,0.36034458114359275,0.3062805179485682,0.25231450422958707
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999994554,0.9970335115600975,0.5079849914657509,0.3785353238945266,0.310137455791728,0.2650711776566535,0.2204936463380086
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999986554583,0.670364023372679,0.38979907778095835,0.3024331350681986,0.2516723738688926,0.2169852518026027,0.18325712915524087
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999998466,0.9998842623687809,0.37050053991040793,0.2699093684496129,0.2187582311012773,0.1857217217285632,0.16209613754704716,0.13982086380127504
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999709,0.9996035045242472,0.26527585491613487,0.19270577030898428,0.15528441915194152,0.13111858288802541,0.11386360760785953,0.10089883622701205,0.08934188424808914
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999925,0.27049129459993637,0.12391570778171486,0.08812509009373075,0.06943463967949766,0.05758594290612725,0.04929816325571719,0.04313067292352443,0.03833750918414089,0.03456064045172454,0.031502992650670573
1.0,1.0,1.0,1.0,1.0,1.0,0.006995514563389309,0.0033646061793223634,0.0022321830447543166,0.0016733884783443989,0.001339204794142364,0.0011164874233778436,0.0009572844100667534,0.000837735029378229,0.0007446050464349053,0.0006699479434704367,0.0006086861533456864,0.000557400073795429,0.0005137184623689951,0.00047688723965997736,0.0004485198435659172
1.024971290672854e-6,8.241607232364128e-7,6.877993344605739e-7,5.8930896444407e-7,5.149260840681327e-7,4.568186840165619e-7,4.102060740188568e-7,3.720069636509948e-7,3.4014711372130085e-7,3.131795787730412e-7,2.900644907426928e-7,2.700353171016167e-7,2.525143687123063e-7,2.3705751228256064e-7,2.2331672623363657e-7,2.1101367620846505e-7,1.999198644167021e-7,1.898407261428427e-7,1.8061378819934233e-7,1.723575446989398e-7,1.6625384404262838e-7
2.5463556122106938e-11,2.4145073890998428e-11,2.2948438561704215e-11,2.1857817519136907e-11,2.085997447472795e-11,1.9943760170229227e-11,1.9099717471143832e-11,1.8319771805479792e-11,1.7596985880132318e-11,1.6925363105979332e-11,1.629968792366107e-11,1.5715393664404588e-11,1.516844984070372e-11,1.465526061083898e-11,1.417256371085661e-11,1.3717312281280373e-11,1.3286508379057833e-11,1.2876965560101484e-11,1.2485581435188004e-11,1.2123037698157368e-11,1.1882210994144272e-11
2.239263559283439e-16,2.193543619790998e-16,2.1493852255268974e-16,2.1067100437890064e-16,2.0654445159301572e-16,2.0255194316068997e-16,1.9868695178480503e-16,1.9494330293920892e-16,1.9131513208162889e-16,1.8779683701681463e-16,1.8438302037088998e-16,1.8106841328447665e-16,1.7784776375376681e-16,1.7471565708190838e-16,1.7166620136126706e-16,1.6869243513141704e-16,1.657851665877534e-16,1.6293096142734672e-16,1.6011421755723063e-16,1.5744149352427367e-16,1.5597553968877895e-16
2.2831467815479748e-22,2.272276562028348e-22,2.2613367728466437e-22,2.250326421856905e-22,2.2392444205846574e-22,2.228089555332287e-22,2.216860446325736e-22,2.2055554887125403e-22,2.1941727652983365e-22,2.1827099139803374e-22,2.171163920148692e-22,2.1595307801400184e-22,2.147804933644207e-22,2.1359782624019303e-22,2.124038233195303e-22,2.1119642737265368e-22,2.0997204675407784e-22,2.0872422389699085e-22,2.0744438420088293e-22,2.061951242867903e-22,2.0572820010017576e-22
